2	10.153591953825304	12	1	[]
10.153591953825304	13.341081966917137	12	2	[]
12	13.341081966917137	22	1	[]
13.341081966917137	24.553219556768518	22	2	[]
22	24.553219556768518	32	1	[]
24.553219556768518	26.14274257179155	32	2	[]
26.14274257179155	26.301952553883435	32	3	[]
26.301952553883435	29.509915635101535	32	4	[]
29.509915635101535	30.47715966193899	32	5	[]
30.47715966193899	33.4113943526488	32	5	[31.933022291681034]
31.933022291681034	33.4113943526488	32	5	[45.80716565136058]
32	33.4113943526488	42	4	[45.80716565136058]
33.4113943526488	52.43914101590404	42	5	[45.80716565136058]
42	52.43914101590404	52	4	[45.80716565136058]
45.80716565136058	52.43914101590404	52	5	[]
2	10.153591953825304	12	1	[]
10.153591953825304	13.341081966917137	12	2	[]
12	13.341081966917137	22	1	[]
13.341081966917137	24.553219556768518	22	2	[]
22	24.553219556768518	32	1	[]
24.553219556768518	26.14274257179155	32	2	[]
26.14274257179155	26.301952553883435	32	3	[]
26.301952553883435	29.509915635101535	32	4	[]
29.509915635101535	30.47715966193899	32	5	[]
30.47715966193899	33.4113943526488	32	5	[31.933022291681034]
31.933022291681034	33.4113943526488	32	5	[45.80716565136058]
32	33.4113943526488	42	4	[45.80716565136058]
33.4113943526488	52.43914101590404	42	5	[45.80716565136058]
42	52.43914101590404	52	4	[45.80716565136058]
45.80716565136058	52.43914101590404	52	5	[]
