2	8	12	1	[]
8	14	12	2	[]
12	14	22	1	[]
14	20	22	2	[]
20	26	22	2	[25]
22	26	32	1	[25]
25	26	32	2	[]
26	32	32	2	[31]
31	32	32	2	[36]
32	38	32	2	[37, 36]
32	38	42	1	[37, 36]
36	38	42	2	[37]
37	38	42	2	[42]
38	44	42	2	[43, 42]
42	44	42	2	[47, 43]
42	44	52	1	[47, 43]
43	44	52	2	[47]
44	50	52	2	[49, 47]
47	50	52	2	[52, 49]
49	50	52	2	[54, 52]
50	56	52	2	[55, 54, 52]
52	56	52	2	[57, 55, 54]
52	56	62	1	[57, 55, 54]
54	56	62	2	[57, 55]
55	56	62	2	[60, 57]
56	62	62	2	[61, 60, 57]
57	62	62	2	[62, 61, 60]
60	62	62	2	[65, 62, 61]
61	62	62	2	[66, 65, 62]
62	62	62	2	[67, 66, 65]
62	68	62	2	[67, 67, 66, 65]
62	68	72	1	[67, 67, 66, 65]
65	68	72	2	[67, 67, 66]
66	68	72	2	[71, 67, 67]
67	68	72	2	[72, 71, 67]
67	68	72	2	[72, 72, 71]
68	74	72	2	[73, 72, 72, 71]
71	74	72	2	[76, 73, 72, 72]
72	74	72	2	[77, 76, 73, 72]
72	74	72	2	[77, 77, 76, 73]
72	74	82	1	[77, 77, 76, 73]
73	74	82	2	[77, 77, 76]
74	80	82	2	[79, 77, 77, 76]
76	80	82	2	[81, 79, 77, 77]
77	80	82	2	[82, 81, 79, 77]
77	80	82	2	[82, 82, 81, 79]
79	80	82	2	[84, 82, 82, 81]
80	86	82	2	[85, 84, 82, 82, 81]
81	86	82	2	[86, 85, 84, 82, 82]
82	86	82	2	[87, 86, 85, 84, 82]
82	86	82	2	[87, 87, 86, 85, 84]
82	86	92	1	[87, 87, 86, 85, 84]
84	86	92	2	[87, 87, 86, 85]
85	86	92	2	[90, 87, 87, 86]
86	86	92	2	[91, 90, 87, 87]
86	92	92	2	[91, 91, 90, 87, 87]
87	92	92	2	[92, 91, 91, 90, 87]
87	92	92	2	[92, 92, 91, 91, 90]
90	92	92	2	[95, 92, 92, 91, 91]
91	92	92	2	[96, 95, 92, 92, 91]
91	92	92	2	[96, 96, 95, 92, 92]
92	92	92	2	[97, 96, 96, 95, 92]
92	92	92	2	[97, 97, 96, 96, 95]
92	98	92	2	[97, 97, 97, 96, 96, 95]
92	98	102	1	[97, 97, 97, 96, 96, 95]
95	98	102	2	[97, 97, 97, 96, 96]
96	98	102	2	[101, 97, 97, 97, 96]
96	98	102	2	[101, 101, 97, 97, 97]
97	98	102	2	[102, 101, 101, 97, 97]
97	98	102	2	[102, 102, 101, 101, 97]
97	98	102	2	[102, 102, 102, 101, 101]
98	104	102	2	[103, 102, 102, 102, 101, 101]
101	104	102	2	[106, 103, 102, 102, 102, 101]
101	104	102	2	[106, 106, 103, 102, 102, 102]
102	104	102	2	[107, 106, 106, 103, 102, 102]
102	104	102	2	[107, 107, 106, 106, 103, 102]
102	104	102	2	[107, 107, 107, 106, 106, 103]
102	104	112	1	[107, 107, 107, 106, 106, 103]
103	104	112	2	[107, 107, 107, 106, 106]
104	110	112	2	[109, 107, 107, 107, 106, 106]
106	110	112	2	[111, 109, 107, 107, 107, 106]
106	110	112	2	[111, 111, 109, 107, 107, 107]
107	110	112	2	[112, 111, 111, 109, 107, 107]
107	110	112	2	[112, 112, 111, 111, 109, 107]
107	110	112	2	[112, 112, 112, 111, 111, 109]
109	110	112	2	[114, 112, 112, 112, 111, 111]
110	116	112	2	[115, 114, 112, 112, 112, 111, 111]
111	116	112	2	[116, 115, 114, 112, 112, 112, 111]
111	116	112	2	[116, 116, 115, 114, 112, 112, 112]
112	116	112	2	[117, 116, 116, 115, 114, 112, 112]
